"Compounds ID","Tags","Checked","Name","Formula","Annot. Source: Predicted Compositions","Annot. Source: mzCloud Search","Annot. Source: Metabolika Search","Annot. Source: ChemSpider Search","Annot. Source: MassList Search","Annot. DeltaMass [ppm]","Calc. MW","m/z","RT [min]","Area (Max.)","# ChemSpider Results","# mzCloud Results","mzCloud Best Match","mzCloud Best Match Confidence","mzCloud Best Sim. Match","Mass List Match: HMDB Serum metabolites (v5. 40600 cpds)","Mass List Match: HMDB Urine metabolites (v5. 4641 cpds)","MS2","Reference Ion","Group Area: cla","Group Area: cla/lps","Group Area: ctrl","Group Area: lps","Group Area: no2-cla/lps","Group CV [%]: cla","Group CV [%]: cla/lps","Group CV [%]: ctrl","Group CV [%]: lps","Group CV [%]: no2-cla/lps","Ratio: (cla) / (ctrl)","Ratio: (cla/lps) / (ctrl)","Ratio: (lps) / (ctrl)","Ratio: (no2-cla/lps) / (ctrl)","Ratio: (cla/lps) / (lps)","Ratio: (no2-cla/lps) / (lps)","Log2 Fold Change: (cla) / (ctrl)","Log2 Fold Change: (cla/lps) / (ctrl)","Log2 Fold Change: (lps) / (ctrl)","Log2 Fold Change: (no2-cla/lps) / (ctrl)","Log2 Fold Change: (cla/lps) / (lps)","Log2 Fold Change: (no2-cla/lps) / (lps)","P-value: (cla) / (ctrl)","P-value: (cla/lps) / (ctrl)","P-value: (lps) / (ctrl)","P-value: (no2-cla/lps) / (ctrl)","P-value: (cla/lps) / (lps)","P-value: (no2-cla/lps) / (lps)","Adj. P-value: (cla) / (ctrl)","Adj. P-value: (cla/lps) / (ctrl)","Adj. P-value: (lps) / (ctrl)","Adj. P-value: (no2-cla/lps) / (ctrl)","Adj. P-value: (cla/lps) / (lps)","Adj. P-value: (no2-cla/lps) / (lps)","Peak Rating (Max.)","Peak Rating: Liver-H-9.raw (F9)","Peak Rating: Liver-H-10.raw (F10)","Peak Rating: Liver-H-11.raw (F11)","Peak Rating: Liver-H-12.raw (F12)","Peak Rating: Liver-H-13.raw (F13)","Peak Rating: Liver-H-14.raw (F14)","Peak Rating: Liver-H-15.raw (F15)","Peak Rating: Liver-H-16.raw (F16)","Peak Rating: Liver-H-25.raw (F25)","Peak Rating: Liver-H-26.raw (F26)","Peak Rating: Liver-H-27.raw (F27)","Peak Rating: Liver-H-28.raw (F28)","Peak Rating: Liver-H-29.raw (F29)","Peak Rating: Liver-H-30.raw (F30)","Peak Rating: Liver-H-31.raw (F31)","Peak Rating: Liver-H-32.raw (F32)","Peak Rating: Liver-H-1.raw (F1)","Peak Rating: Liver-H-2.raw (F2)","Peak Rating: Liver-H-3.raw (F3)","Peak Rating: Liver-H-4.raw (F4)","Peak Rating: Liver-H-5.raw (F5)","Peak Rating: Liver-H-6.raw (F6)","Peak Rating: Liver-H-7.raw (F7)","Peak Rating: Liver-H-8.raw (F8)","Peak Rating: Liver-H-17.raw (F17)","Peak Rating: Liver-H-18.raw (F18)","Peak Rating: Liver-H-19.raw (F19)","Peak Rating: Liver-H-20.raw (F20)","Peak Rating: Liver-H-21.raw (F21)","Peak Rating: Liver-H-22.raw (F22)","Peak Rating: Liver-H-23.raw (F23)","Peak Rating: Liver-H-24.raw (F24)","Peak Rating: Liver-H-33.raw (F33)","Peak Rating: Liver-H-34.raw (F34)","Peak Rating: Liver-H-35.raw (F35)","Peak Rating: Liver-H-36.raw (F36)","Peak Rating: Liver-H-37.raw (F37)","Peak Rating: Liver-H-38.raw (F38)","Peak Rating: Liver-H-39.raw (F39)","Peak Rating: Liver-H-40.raw (F40)"
"125","","True","(±)9-HpODE","C18 H32 O4","Full match","Full match","Partial match","Partial match","Not the top hit","1.63","312.23057","311.22328","5.955","30341229.5669998","22","2","68.5","64.1","54.3","Multiple matches found","No matches found","PreferredDDA","[M-H]-1","2415914.43862851","2849237.20082069","1937805.0680194","2519415.75938128","20958436.538206","67.0709596285872","103.333976930665","47.6925341111781","47.0847070012923","34.349291589848","1.247","1.470","1.300","10.816","1.131","8.319","0.32","0.56","0.38","3.44","0.18","3.06","0.999994378589815","0.900590564652444","0.989539827154614","4.24225674777734E-06","0.659444068045468","1.03626643543908E-06","0.999999999990232","0.999999999971901","0.99999999999954","0.000131325513235542","0.999999999980223","0.000304182218047799","6.7","","","","3.7","1.4","2.2","","","","","","4.7","","4.3","4.5","","","","","","1.4","","","3.7","","","1.1","","","","","","6.0","6.3","4.4","6.7","4.4","4.8","5.6","5.2"
"143","","True","NP-020353","C21 H30 O5","Not the top hit","Full match","Partial match","Partial match","Partial match","1.75","362.20996","361.20267","2.918","127683988.871705","16","3","86.5","9.3","","Multiple matches found","Single match found","PreferredDDA","[M-H]-1","3355295.00621051","43667845.552392","1096484.57874802","49722973.3041453","50629209.5801927","107.240995278959","51.28357331156","75.2435971397883","68.7513820153335","59.2551795499165","3.060","39.825","45.348","46.174","0.878","1.018","1.61","5.32","5.50","5.53","-0.19","0.03","0.375003160985077","2.08698862003143E-06","0.000158099523577704","1.3961092579784E-06","0.606455235301271","0.522787175218895","0.999999999990232","0.00011887487179699","0.00562834303936626","5.52238773155899E-05","0.999999999980223","0.927084604622299","7.0","6.6","4.8","4.8","4.8","2.7","4.5","6.0","2.7","6.2","6.2","6.6","6.2","5.8","7.0","5.8","7.0","4.5","4.8","4.6","1.6","5.4","2.9","6.4","5.4","6.2","","5.8","5.8","6.6","6.6","6.6","6.2","6.6","6.6","6.6","6.6","6.2","5.1","6.2","6.6"
"153","","True","(±)9-HpODE","C18 H32 O4","No match","Invalid mass","No match","No match","No match","-57682.19","294.21995","293.21267","6.261","101218785.990819","34","3","83.5","9.2","","Multiple matches found","No matches found","PreferredDDA","[M-H]-1","22790391.1358571","33340146.5984798","14356785.0118727","32581163.1543852","68488963.6075766","41.8226820501214","50.6201821522052","40.7591435700618","49.4451063241668","23.2430460051061","1.587","2.322","2.269","4.770","1.023","2.102","0.67","1.22","1.18","2.25","0.03","1.07","0.969452815486606","0.749987951401453","0.999610674151799","0.0294404550884306","0.853332297859021","0.0476611018657392","0.999999999990232","0.999999999971901","0.99999999999954","0.140211398146907","0.999999999980223","0.197294793769804","7.0","6.2","6.2","6.2","5.8","2.8","4.3","3.9","4.7","6.6","5.8","6.0","5.1","6.6","7.0","6.2","6.2","4.7","3.9","5.1","4.3","4.7","3.6","4.7","4.3","5.1","","6.2","5.1","5.1","6.2","5.1","5.5","6.5","6.1","6.8","6.5","6.1","6.8","5.7","6.5"
"155","","True","","C27 H46 O6","Full match","No results","No results","No results","No results","1.13","466.32997","465.32265","4.452","108710220.20384","0","0","","","","No matches found","No matches found","PreferredDDA","[M-H]-1","168951.897985406","18936994.7934348","219647.740835231","12911576.7119221","9064985.25417361","54.7847804932124","57.4344216726717","86.0692272687856","135.338468378981","93.2962849805673","0.769","86.215","58.783","41.271","1.467","0.702","-0.38","6.43","5.88","5.37","0.55","-0.51","0.977305822009805","6.8505365569127E-07","3.10412080147815E-05","5.257549951454E-05","0.710741479535994","0.99977746467778","0.999999999990232","5.73833179826099E-05","0.00170010308511726","0.000813777296833749","0.999999999980223","0.999999999998553","7.0","3.6","","","","","","","","6.2","6.2","4.8","6.2","6.6","6.6","7.0","6.6","","4.0","1.6","","","","","","5.4","","5.8","5.2","5.1","6.6","6.2","6.2","5.5","6.2","5.5","2.7","6.6","4.1","4.5","4.8"
"156","","True","NP-014113","C22 H34 O3","Full match","Full match","No results","Full match","Full match","1.33","346.25126","345.24397","6.052","121109760.50656","9","2","73.2","8.7","","Multiple matches found","No matches found","PreferredDDA","[M-H]-1","3727392.87904695","11403726.8415316","9121790.73097287","5473719.00688839","76308876.8153104","164.531343764217","118.231555993455","155.938326772038","49.3194289281269","44.7872052156292","0.409","1.250","0.600","8.366","2.083","13.941","-1.29","0.32","-0.74","3.06","1.06","3.80","0.797400969967329","0.999851595565767","0.655685913607875","0.0416969352246113","0.557157750991641","0.00111311559458116","0.999999999990232","0.999999999971901","0.99999999999954","0.187900113164071","0.999999999980223","0.018065282706246","6.2","4.8","5.5","2.2","6.2","0.5","4.5","1.1","","","2.0","","4.3","4.5","5.1","5.5","3.9","1.2","","4.7","1.8","5.1","5.5","4.1","2.8","3.2","","3.0","","2.2","2.2","2.2","2.2","5.1","5.8","3.9","5.8","4.3","5.1","5.1","3.9"
"167","","True","(1S,2R,5S)-2-Isopropyl-5-methylcyclohexyl 3-oxobutanoate","C14 H24 O3","Full match","No results","No results","Full match","No results","0.15","240.17258","239.16530","5.025","87857614.7111164","1","0","","","","No matches found","No matches found","PreferredDDA","[M-H]-1","1958496.41194905","11460475.8625895","1379410.16471512","11957459.5284461","29276657.5172281","56.1339485835959","46.1016383556634","73.4024399305309","64.4247690654215","64.4559574299309","1.420","8.308","8.669","21.224","0.958","2.448","0.51","3.05","3.12","4.41","-0.06","1.29","0.999962430377353","0.00101060007048581","0.0140412993464349","1.56382089144813E-06","0.872780475287194","0.0275545104040212","0.999999999990232","0.0189354539522605","0.163262796258745","5.70995115236446E-05","0.999999999980223","0.134837191805245","7.0","4.1","5.4","4.2","3.3","1.7","2.3","2.0","1.0","5.8","5.8","6.7","5.8","5.8","6.2","5.8","5.1","2.0","","5.4","0.8","2.0","1.1","2.3","5.2","6.2","","5.8","7.0","6.6","7.0","6.2","6.2","5.8","6.6","6.2","6.6","6.6","6.6","5.5","5.8"
"184","","True","2,5-di-tert-Butylhydroquinone","C14 H22 O2","Full match","Full match","No results","Partial match","Full match","-0.98","222.16176","221.15449","5.731","87377272.6072064","9","4","92.6","9.6","60.8","Multiple matches found","No matches found","PreferredDDA","[M-H]-1","4873700.80597203","6945594.15918049","3241725.23637386","28295235.7323461","34981285.221625","49.7110831074546","68.0528244751015","59.2127291864922","72.6394010308171","51.9424796559263","1.503","2.143","8.728","10.791","0.245","1.236","0.59","1.10","3.13","3.43","-2.03","0.31","0.984893524990044","0.369779651118113","0.0141020533285292","4.95962115484305E-05","0.535868478519524","0.298069975280838","0.999999999990232","0.999999999971901","0.163262796258745","0.000784722280499612","0.999999999980223","0.657228806726445","6.6","3.3","1.8","4.1","1.1","","1.8","2.2","2.7","5.2","5.2","2.6","2.6","5.5","4.3","3.9","3.6","4.8","5.2","6.0","","3.0","1.6","4.1","4.5","4.3","1.7","5.5","6.2","5.8","5.5","4.7","6.2","6.6","6.2","6.2","6.6","5.5","6.2","6.2","6.2"
"186","","True","5-Hydroxy-1-(3-hydroxy-4-methoxyphenyl)decan-3-one","C17 H26 O4","Full match","No results","No results","Partial match","Full match","1.71","294.18361","293.17634","4.833","68738422.2767746","8","0","","","","Multiple matches found","No matches found","PreferredDDA","[M-H]-1","5761386.82799133","12176482.4742645","6105732.419713","6155021.65751961","31357804.9873725","63.2235920613621","86.6268030226979","68.7301929959725","93.4688664947296","58.7499005724271","0.944","1.994","1.008","5.136","1.978","5.095","-0.08","1.00","0.01","2.36","0.98","2.35","0.999884352342774","0.995534854678783","0.999999999667618","0.0156334268945612","0.995807795794032","0.0158801572354996","0.999999999990232","0.999999999971901","0.99999999999954","0.085953667559286","0.999999999980223","0.0938313025035331","6.6","6.0","6.6","6.2","5.6","5.6","4.7","4.8","5.6","4.5","4.8","4.2","4.1","6.6","5.8","6.2","5.8","6.6","6.0","6.6","4.8","6.2","6.6","5.2","4.8","4.8","2.7","4.8","6.0","6.6","6.2","4.8","6.2","6.2","6.6","6.6","6.6","6.6","6.6","6.2","6.6"
"194","","True","","C27 H46 O6","Full match","No results","No results","No results","No results","1.25","466.33002","465.32272","3.745","71525913.5027593","0","0","","","","No matches found","No matches found","PreferredDDA","[M-H]-1","261285.504343479","10264314.2301771","443315.43954934","9060043.91021599","15224365.5389928","39.0382522480463","62.8940337660043","23.5841339252735","127.66640382954","60.9559192503853","0.589","23.154","20.437","34.342","1.133","1.680","-0.76","4.53","4.35","5.10","0.18","0.75","0.96147861500047","1.92949024183653E-05","0.000245159663182171","2.03024631416637E-05","0.913161374953909","0.918769471224182","0.999999999990232","0.000686898526093804","0.00775794134158691","0.000431503097219838","0.999999999980223","0.999999999998553","6.6","","","","","","","","","4.1","4.8","3.3","6.6","6.2","5.8","3.9","4.8","","","","","","","","","2.7","","6.0","3.3","2.0","3.6","5.5","5.1","5.8","5.8","4.3","5.0","6.2","4.3","5.1","4.5"
"222","","True","Nor-9-carboxy-d9-THC","C21 H28 O4","Full match","Full match","No results","Full match","Partial match","1.02","344.19911","343.19183","3.553","78846147.7770473","8","1","77.0","8.9","","Multiple matches found","No matches found","PreferredDDA","[M-H]-1","583917.088270698","1914543.58105672","631209.492604116","951884.476003158","21031744.3688653","65.2133945854525","182.690378523434","19.7668043699885","97.3350874992017","85.3426627351077","0.925","3.033","1.508","33.320","2.011","22.095","-0.11","1.60","0.59","5.06","1.01","4.47","0.999999451181838","0.0553897669865673","0.973750424750488","2.49037642618966E-07","0.193373791935009","1.49288445772111E-06","0.999999999990232","0.393977841608446","0.99999999999954","1.31344297440521E-05","0.999999999980223","0.000354311244632477","6.6","","","","2.0","","","","","","0.6","","0.7","","4.3","5.5","3.3","","","","","","","","","3.1","","","2.0","","","","2.2","6.2","3.6","6.2","6.2","4.3","6.6","5.1","5.1"
